date,nav,market_state,style_regime,position_limit,n_industries,n_stocks,cash_ratio,market_price,market_rsi,vg_ratio
2024-01-05,999895.1117209003,weak_bear,style_transition,0.35,5,25,0.6503357273161755,2929.18,46.957154552897244,0
2024-01-19,992494.4774894003,weak_bear,style_transition,0.35,5,25,0.6522231802507069,2832.28,19.022801302931683,0
2024-02-02,996040.5748945004,weak_bear,style_transition,0.35,5,25,0.6553232984144615,2730.15,34.49823279456733,0
2024-02-16,1007604.9288587,consolidation,style_transition,0.55,10,50,0.3684827358667744,2865.9,52.7944012234856,0
2024-03-01,1028032.0674903004,consolidation,style_transition,0.55,10,50,0.3656212256178931,3027.02,78.33972927048129,0
2024-03-15,1030988.5705401001,strong_bull,style_transition,1.0,10,50,0.013502268539027137,3054.64,63.195294437644485,0
2024-03-29,1030323.6376483004,weak_bull,style_transition,0.75,10,50,0.1323682294231263,3041.17,44.77102893274574,0
2024-04-12,1048063.3937252001,weak_bull,style_transition,0.75,10,50,0.14887345713947409,3019.47,38.62128869235625,0
2024-04-26,1054247.7633228004,weak_bull,style_transition,0.75,10,50,0.15936963982095334,3088.64,56.52555935607364,0
2024-05-10,1086971.4328554003,strong_bull,style_transition,1.0,10,50,0.0738952785947647,3154.55,67.14067845513385,0
2024-05-24,1067908.2091020006,weak_bull,style_transition,0.75,10,50,0.16815132477818504,3088.87,38.30468714756174,0
2024-06-07,1039288.3955261005,consolidation,style_transition,0.55,10,50,0.4160306613519211,3051.28,23.320721121745024,0
2024-06-21,1025132.5667000003,consolidation,style_transition,0.55,10,50,0.4475250339347164,2998.14,24.5274346452169,0
