date,nav,market_state,style_regime,position_limit,n_industries,n_stocks,cash_ratio,market_price,market_rsi,vg_ratio
2024-01-05,999895.1185363003,weak_bear,style_transition,0.35,5,25,0.6503584500824743,2929.18,46.957154552897244,0
2024-01-19,990948.0873002,weak_bear,style_transition,0.35,5,25,0.6535636695810082,2832.28,19.022801302931683,0
2024-02-02,988636.701446,weak_bear,style_transition,0.35,5,25,0.6652213522764125,2730.15,34.49823279456733,0
2024-02-16,997378.3405626,consolidation,style_transition,0.55,10,50,0.3684955945156022,2865.9,52.7944012234856,0
2024-03-01,1020216.2385991002,consolidation,style_transition,0.55,10,50,0.35829993267019783,3027.02,78.33972927048129,0
2024-03-15,1021691.7880193003,strong_bull,style_transition,1.0,10,50,0.0009575255774509735,3054.64,63.195294437644485,0
2024-03-29,1011542.8077945,weak_bull,style_transition,0.75,10,50,0.1390209684759767,3041.17,44.77102893274574,0
2024-04-12,1031756.9951504002,weak_bull,style_transition,0.75,10,50,0.047522060311549284,3019.47,38.62128869235625,0
2024-04-26,1038788.7582629003,weak_bull,style_transition,0.75,10,50,0.1643262606618417,3088.64,56.52555935607364,0
2024-05-10,1072146.5889102002,strong_bull,style_transition,1.0,10,50,0.05297428401831845,3154.55,67.14067845513385,0
2024-05-24,1050115.1005071,weak_bull,style_transition,0.75,10,50,0.19788854327182898,3088.87,38.30468714756174,0
2024-06-07,1017105.6232366003,consolidation,style_transition,0.55,10,50,0.41126672262954794,3051.28,23.320721121745024,0
2024-06-21,1002865.5612020006,consolidation,style_transition,0.55,10,50,0.4502547426803589,2998.14,24.5274346452169,0
